"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"11" 4.18475e-10 1.15799e-10 1.38538e-11 -6.64908e-11 -9.34502e-12 -2.77295e-11 2.2172e-10 1.64519e-11 5.0535e-12 1.51967e-11 2.36694e-09 2.52661e-10 1.63655e-10 2.04027e-10 2.39278e-09 1.76792e-09 2.13698e-10 1.13126e-10 2.01619e-10 1.97872e-09 1.63276e-09 1.09463e-09 1.37488e-10 4.56478e-11 1.41783e-10 1.19387e-09 9.94837e-10 6.07619e-10 1.18905e-09 1.65441e-10 2.76498e-11 1.86967e-10 1.61192e-09 1.29306e-09 7.66666e-10 9.26102e-10
"12" 4.78287e-11 3.79132e-10 2.96395e-10 2.539e-10 -2.67624e-11 -2.31704e-10 1.84293e-10 4.08022e-10 2.14633e-10 3.29482e-10 2.52661e-10 3.74162e-09 3.15315e-09 1.80966e-09 9.90814e-10 1.81499e-10 2.83684e-09 2.29045e-09 1.33641e-09 4.41513e-10 1.50624e-10 1.7788e-10 1.84209e-09 1.29756e-09 8.90141e-10 9.34024e-10 5.90142e-10 6.44652e-10 1.87231e-10 1.9772e-09 1.34168e-09 9.44096e-10 1.00325e-09 6.29762e-10 6.75245e-10 6.97428e-10
"13" 3.19631e-11 2.81688e-10 2.78662e-10 1.18662e-09 3.83162e-10 -1.12797e-09 3.38883e-10 4.352e-10 9.57974e-10 6.64066e-10 1.63655e-10 3.15315e-09 1.23994e-08 3.47181e-09 -1.26833e-09 1.66706e-10 2.30427e-09 9.31015e-09 2.63753e-09 -2.27446e-10 2.69233e-10 1.99763e-10 1.39586e-09 5.80922e-09 1.75025e-09 1.24007e-09 1.13626e-09 1.27756e-09 1.72335e-10 1.42975e-09 6.21648e-09 1.80234e-09 9.44151e-10 9.15955e-10 1.16207e-09 1.03067e-09
"14" 3.33731e-11 1.72622e-10 1.47472e-10 3.14742e-10 7.77237e-11 -2.32279e-10 8.28853e-10 4.84529e-10 -3.84862e-11 1.11324e-09 2.04027e-10 1.80966e-09 3.47181e-09 8.22026e-09 2.0608e-09 2.41243e-10 1.38497e-09 2.56921e-09 6.38391e-09 2.12776e-09 2.08083e-09 2.9039e-10 9.27394e-10 1.53645e-09 4.23156e-09 2.82084e-09 2.37893e-09 2.05439e-09 2.85509e-10 9.75335e-10 1.61141e-09 4.51489e-09 2.75316e-09 2.33691e-09 2.03491e-09 1.99492e-09
"15" 2.01359e-10 9.38585e-11 2.24774e-11 -7.97564e-11 -4.40105e-11 1.76749e-10 2.09872e-10 7.7487e-11 -3.39347e-11 2.01878e-10 2.39278e-09 9.90814e-10 -1.26833e-09 2.0608e-09 2.55466e-08 1.68208e-09 7.20362e-10 -7.60604e-10 1.572e-09 1.76886e-08 1.30687e-08 1.00138e-09 5.05891e-10 -2.86364e-10 1.09585e-09 1.11366e-08 8.14004e-09 4.91112e-09 1.05002e-09 5.52789e-10 -2.83637e-10 1.18515e-09 1.19377e-08 8.65818e-09 5.15039e-09 5.354e-09
"16" 4.08148e-10 4.65226e-11 -1.61548e-12 5.23824e-11 3.22162e-13 2.23312e-12 2.90822e-10 1.68099e-11 2.30974e-11 2.00787e-11 1.76792e-09 1.81499e-10 1.66706e-10 2.41243e-10 1.68208e-09 2.4405e-09 2.24193e-10 2.24637e-10 2.42994e-10 2.03713e-09 2.35189e-09 1.14525e-09 1.2678e-10 8.14064e-11 1.71969e-10 1.02751e-09 1.2352e-09 6.36621e-10 1.2919e-09 1.50453e-10 8.88106e-11 2.34443e-10 1.35411e-09 1.69325e-09 8.18197e-10 1.0234e-09
"17" 4.47581e-11 3.58591e-10 5.06516e-11 2.6429e-10 9.82971e-11 1.08627e-10 1.8466e-10 4.59154e-10 4.15812e-10 4.3247e-10 2.13698e-10 2.83684e-09 2.30427e-09 1.38497e-09 7.20362e-10 2.24193e-10 3.85364e-09 3.27188e-09 1.83742e-09 5.49016e-10 1.6585e-10 1.84646e-10 1.92918e-09 1.38162e-09 9.53848e-10 7.87114e-10 7.95273e-10 6.92268e-10 2.0083e-10 2.15486e-09 1.50007e-09 1.05377e-09 8.4676e-10 8.62136e-10 7.34396e-10 7.76792e-10
"18" 3.00538e-11 2.66192e-10 7.83138e-11 1.15707e-09 1.46279e-10 3.30564e-10 3.36251e-10 4.1467e-10 1.51739e-09 8.63103e-10 1.13126e-10 2.29045e-09 9.31015e-09 2.56921e-09 -7.60604e-10 2.24637e-10 3.27188e-09 1.27224e-08 3.64461e-09 -3.78132e-10 3.60929e-10 1.98053e-10 1.39464e-09 6.20741e-09 1.85813e-09 8.62658e-10 1.54264e-09 1.31852e-09 1.75633e-10 1.51127e-09 6.89379e-09 1.98361e-09 6.23299e-10 1.23605e-09 1.24001e-09 1.13657e-09
"19" 3.09138e-11 1.61333e-10 2.9491e-11 3.16944e-10 6.28114e-11 1.5408e-10 8.036e-10 2.61735e-10 5.66378e-10 1.49252e-09 2.01619e-10 1.33641e-09 2.63753e-09 6.38391e-09 1.572e-09 2.42994e-10 1.83742e-09 3.64461e-09 8.57928e-09 2.11332e-09 2.806e-09 2.9498e-10 9.02827e-10 1.71826e-09 4.55155e-09 2.24727e-09 3.10863e-09 2.14761e-09 2.9334e-10 9.99508e-10 1.8714e-09 5.03839e-09 2.2173e-09 3.08158e-09 2.18957e-09 2.22183e-09
"20" 1.99402e-10 6.25919e-11 -2.12317e-12 -1.88461e-11 3.62201e-13 5.62114e-11 2.46741e-10 5.95435e-11 -6.25662e-12 2.63635e-10 1.97872e-09 4.41513e-10 -2.27446e-10 2.12776e-09 1.76886e-08 2.03713e-09 5.49016e-10 -3.78132e-10 2.11332e-09 1.82488e-08 1.79532e-08 1.01319e-09 3.50217e-10 -3.34217e-11 1.29125e-09 1.00636e-08 1.0158e-08 5.12623e-09 1.08845e-09 4.02432e-10 -4.73156e-11 1.41851e-09 1.10428e-08 1.1096e-08 5.4532e-09 5.74976e-09
"21" 1.9556e-10 2.98104e-11 -4.45879e-12 3.69111e-11 -2.45417e-12 4.7511e-11 2.77811e-10 1.56764e-11 6.70371e-11 3.3986e-10 1.63276e-09 1.50624e-10 2.69233e-10 2.08083e-09 1.30687e-08 2.35189e-09 1.6585e-10 3.60929e-10 2.806e-09 1.79532e-08 2.42846e-08 1.02579e-09 1.84267e-10 2.42068e-10 1.51594e-09 8.60056e-09 1.24522e-08 5.28131e-09 1.1261e-09 2.2301e-10 2.56485e-10 1.70429e-09 9.55271e-09 1.39639e-08 5.78901e-09 6.32291e-09
"22" 2.53723e-10 1.47562e-10 2.59131e-11 2.66227e-10 3.61696e-11 4.09106e-11 4.32658e-10 4.9332e-11 5.21469e-11 6.25687e-11 1.09463e-09 1.7788e-10 1.99763e-10 2.9039e-10 1.00138e-09 1.14525e-09 1.84646e-10 1.98053e-10 2.9498e-10 1.01319e-09 1.02579e-09 1.70908e-09 2.28991e-10 1.95127e-10 2.5851e-10 1.10753e-09 1.10304e-09 9.33961e-10 1.81094e-09 2.73802e-10 2.31995e-10 3.53403e-10 1.29908e-09 1.30613e-09 1.27392e-09 1.63769e-09
"23" 2.87636e-11 2.35115e-10 4.43097e-10 1.89697e-10 6.31811e-10 6.93883e-10 1.44474e-10 8.3623e-10 7.73346e-10 6.92532e-10 1.37488e-10 1.84209e-09 1.39586e-09 9.27394e-10 5.05891e-10 1.2678e-10 1.92918e-09 1.39464e-09 9.02827e-10 3.50217e-10 1.84267e-10 2.28991e-10 2.97966e-09 2.21885e-09 1.47448e-09 7.16846e-10 4.66637e-10 9.77728e-10 2.49614e-10 3.1885e-09 2.27366e-09 1.56529e-09 7.80656e-10 5.24993e-10 1.1439e-09 1.3338e-09
"24" 1.91815e-11 1.76163e-10 3.67632e-10 7.34728e-10 1.08139e-09 2.86221e-09 2.24392e-10 7.63113e-10 2.78147e-09 1.32283e-09 4.56478e-11 1.29756e-09 5.80922e-09 1.53645e-09 -2.86364e-10 8.14064e-11 1.38162e-09 6.20741e-09 1.71826e-09 -3.34217e-11 2.42068e-10 1.95127e-10 2.21885e-09 9.60515e-09 2.81371e-09 3.50505e-10 8.19306e-10 2.01076e-09 1.76157e-10 2.25319e-09 1.0171e-08 2.87811e-09 1.96275e-10 6.72617e-10 1.81254e-09 1.60084e-09
"25" 1.84214e-11 1.07646e-10 2.0665e-10 2.10189e-10 4.09976e-10 8.38494e-10 5.16503e-10 8.21893e-10 1.6523e-09 3.04539e-09 1.41783e-10 8.90141e-10 1.75025e-09 4.23156e-09 1.09585e-09 1.71969e-10 9.53848e-10 1.85813e-09 4.55155e-09 1.29125e-09 1.51594e-09 2.5851e-10 1.47448e-09 2.81371e-09 6.91059e-09 1.88342e-09 2.20892e-09 3.27505e-09 2.73268e-10 1.54971e-09 2.90941e-09 7.36672e-09 1.87079e-09 2.22471e-09 3.30306e-09 3.34287e-09
"26" 1.25772e-10 9.81627e-11 4.99413e-11 9.55779e-11 2.02305e-11 -4.48141e-11 2.71303e-10 1.50045e-10 6.42333e-11 4.04379e-10 1.19387e-09 9.34024e-10 1.24007e-09 2.82084e-09 1.11366e-08 1.02751e-09 7.87114e-10 8.62658e-10 2.24727e-09 1.00636e-08 8.60056e-09 1.10753e-09 7.16846e-10 3.50505e-10 1.88342e-09 1.16386e-08 9.17695e-09 8.04563e-09 1.14676e-09 7.76092e-10 3.62752e-10 1.98595e-09 1.24217e-08 9.60847e-09 8.1379e-09 8.05682e-09
"27" 1.21556e-10 7.49195e-11 9.91262e-12 1.30931e-10 1.71835e-11 7.89338e-11 2.88197e-10 1.03773e-10 2.16988e-10 5.49717e-10 9.94837e-10 5.90142e-10 1.13626e-09 2.37893e-09 8.14004e-09 1.2352e-09 7.95273e-10 1.54264e-09 3.10863e-09 1.0158e-08 1.24522e-08 1.10304e-09 4.66637e-10 8.19306e-10 2.20892e-09 9.17695e-09 1.21196e-08 8.33846e-09 1.16175e-09 5.33652e-10 8.78819e-10 2.40018e-09 9.77888e-09 1.30376e-08 8.68658e-09 8.93853e-09
"28" 7.61766e-11 8.17212e-11 8.31278e-11 1.48442e-10 1.51118e-10 3.34278e-10 2.55197e-10 2.67657e-10 5.13901e-10 7.44143e-10 6.07619e-10 6.44652e-10 1.27756e-09 2.05439e-09 4.91112e-09 6.36621e-10 6.92268e-10 1.31852e-09 2.14761e-09 5.12623e-09 5.28131e-09 9.33961e-10 9.77728e-10 2.01076e-09 3.27505e-09 8.04563e-09 8.33846e-09 1.37344e-08 9.74398e-10 1.0337e-09 2.03641e-09 3.31205e-09 8.02612e-09 8.17274e-09 1.28894e-08 1.14927e-08
"29" 3.8691e-10 1.57646e-10 3.12544e-11 2.17089e-10 3.20006e-11 2.87654e-11 4.09169e-10 5.27208e-11 4.34783e-11 6.28598e-11 1.18905e-09 1.87231e-10 1.72335e-10 2.85509e-10 1.05002e-09 1.2919e-09 2.0083e-10 1.75633e-10 2.9334e-10 1.08845e-09 1.1261e-09 1.81094e-09 2.49614e-10 1.76157e-10 2.73268e-10 1.14676e-09 1.16175e-09 9.74398e-10 2.34301e-09 3.3793e-10 2.51836e-10 3.88757e-10 1.56767e-09 1.59887e-09 1.46486e-09 2.17224e-09
"30" 4.7237e-11 3.62123e-10 4.66759e-10 2.67048e-10 5.31133e-10 5.35767e-10 2.00222e-10 7.97e-10 6.72695e-10 6.46145e-10 1.65441e-10 1.9772e-09 1.42975e-09 9.75335e-10 5.52789e-10 1.50453e-10 2.15486e-09 1.51127e-09 9.99508e-10 4.02432e-10 2.2301e-10 2.73802e-10 3.1885e-09 2.25319e-09 1.54971e-09 7.76092e-10 5.33652e-10 1.0337e-09 3.3793e-10 4.09358e-09 2.90035e-09 1.98086e-09 9.38168e-10 6.33857e-10 1.38612e-09 1.88711e-09
"31" 2.98512e-11 2.60422e-10 3.65038e-10 1.13276e-09 1.02718e-09 2.19282e-09 3.23386e-10 7.14468e-10 2.52333e-09 1.20356e-09 2.76498e-11 1.34168e-09 6.21648e-09 1.61141e-09 -2.83637e-10 8.88106e-11 1.50007e-09 6.89379e-09 1.8714e-09 -4.73156e-11 2.56485e-10 2.31995e-10 2.27366e-09 1.0171e-08 2.90941e-09 3.62752e-10 8.78819e-10 2.03641e-09 2.51836e-10 2.90035e-09 1.30194e-08 3.62792e-09 1.24948e-10 7.75841e-10 2.16319e-09 2.23236e-09
"32" 3.26018e-11 1.65963e-10 2.15355e-10 3.0813e-10 3.6781e-10 6.4196e-10 7.9356e-10 8.30884e-10 1.37234e-09 2.85731e-09 1.86967e-10 9.44096e-10 1.80234e-09 4.51489e-09 1.18515e-09 2.34443e-10 1.05377e-09 1.98361e-09 5.03839e-09 1.41851e-09 1.70429e-09 3.53403e-10 1.56529e-09 2.87811e-09 7.36672e-09 1.98595e-09 2.40018e-09 3.31205e-09 3.88757e-10 1.98086e-09 3.62792e-09 9.35268e-09 2.20395e-09 2.72936e-09 3.95822e-09 4.77235e-09
"33" 1.88582e-10 1.14598e-10 5.37569e-11 5.45614e-11 8.76916e-12 -4.07401e-11 2.89684e-10 1.49836e-10 2.73506e-11 3.88124e-10 1.61192e-09 1.00325e-09 9.44151e-10 2.75316e-09 1.19377e-08 1.35411e-09 8.4676e-10 6.23299e-10 2.2173e-09 1.10428e-08 9.55271e-09 1.29908e-09 7.80656e-10 1.96275e-10 1.87079e-09 1.24217e-08 9.77888e-09 8.02612e-09 1.56767e-09 9.38168e-10 1.24948e-10 2.20395e-09 1.53946e-08 1.19571e-08 9.55321e-09 1.13597e-08
"34" 1.8338e-10 8.15449e-11 1.39394e-11 1.08953e-10 1.62453e-11 5.49976e-11 3.19658e-10 1.11799e-10 1.65655e-10 5.37639e-10 1.29306e-09 6.29762e-10 9.15955e-10 2.33691e-09 8.65818e-09 1.69325e-09 8.62136e-10 1.23605e-09 3.08158e-09 1.1096e-08 1.39639e-08 1.30613e-09 5.24993e-10 6.72617e-10 2.22471e-09 9.60847e-09 1.30376e-08 8.17274e-09 1.59887e-09 6.33857e-10 7.75841e-10 2.72936e-09 1.19571e-08 1.63385e-08 1.02118e-08 1.2836e-08
"35" 1.17386e-10 1.08015e-10 8.90969e-11 1.69573e-10 1.38963e-10 2.56096e-10 3.12515e-10 2.64506e-10 4.34359e-10 8.15984e-10 7.66666e-10 6.75245e-10 1.16207e-09 2.03491e-09 5.15039e-09 8.18197e-10 7.34396e-10 1.24001e-09 2.18957e-09 5.4532e-09 5.78901e-09 1.27392e-09 1.1439e-09 1.81254e-09 3.30306e-09 8.1379e-09 8.68658e-09 1.28894e-08 1.46486e-09 1.38612e-09 2.16319e-09 3.95822e-09 9.55321e-09 1.02118e-08 1.55652e-08 1.89212e-08
"36" 1.78032e-10 1.34999e-10 9.65715e-11 1.76629e-10 1.34701e-10 1.8423e-10 3.6343e-10 2.71019e-10 3.65689e-10 9.32574e-10 9.26102e-10 6.97428e-10 1.03067e-09 1.99492e-09 5.354e-09 1.0234e-09 7.76792e-10 1.13657e-09 2.22183e-09 5.74976e-09 6.32291e-09 1.63769e-09 1.3338e-09 1.60084e-09 3.34287e-09 8.05682e-09 8.93853e-09 1.14927e-08 2.17224e-09 1.88711e-09 2.23236e-09 4.77235e-09 1.13597e-08 1.2836e-08 1.89212e-08 3.02503e-08
