"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36"
"11" 1.93617e-09 1.19727e-09 5.42005e-10 1.13185e-09 6.59837e-10 6.57886e-10 1.80177e-09 1.25856e-09 7.1176e-10 1.56544e-09 1.9557e-08 1.74753e-08 1.06964e-08 7.04218e-09 1.62338e-08 6.34718e-09 5.12467e-09 2.96078e-09 3.81052e-09 5.71412e-09 3.58449e-09 3.1406e-09 2.56019e-09 1.47965e-09 1.66028e-09 6.96177e-09 2.93921e-09 1.89861e-09 3.41111e-09 2.65628e-09 1.57295e-09 2.15301e-09 8.01802e-09 3.66606e-09 2.23646e-09 2.63166e-09
"12" 1.52419e-09 2.07262e-09 1.15687e-09 9.68003e-10 1.62332e-09 7.2055e-10 1.29975e-09 2.81096e-09 7.51315e-10 1.06553e-09 1.74753e-08 3.45665e-08 1.02294e-08 4.41857e-09 1.56782e-09 5.06595e-09 1.18353e-08 3.20206e-09 2.76177e-09 4.46861e-09 5.14537e-09 2.55494e-09 8.88163e-09 1.63019e-09 6.48791e-10 -2.23879e-09 5.31657e-10 -2.46255e-09 2.71705e-09 8.79237e-09 1.86366e-09 1.22563e-09 3.18455e-10 2.04074e-09 -1.72409e-09 -8.74966e-10
"13" 9.46453e-10 6.80001e-10 3.38778e-10 3.59611e-09 1.40914e-09 6.01785e-09 1.05968e-09 8.83205e-10 5.19774e-09 1.82952e-09 1.06964e-08 1.02294e-08 5.71176e-08 6.2225e-09 1.90102e-08 2.84046e-09 3.2277e-09 2.18896e-08 3.56285e-09 1.88729e-09 -6.80043e-10 1.62489e-09 1.79662e-09 1.80892e-08 1.71315e-09 6.41891e-09 6.34387e-10 1.87958e-09 1.82355e-09 1.89868e-09 1.7638e-08 2.13753e-09 1.04612e-08 2.89744e-09 3.17259e-09 4.68414e-09
"14" 7.73297e-10 3.99683e-10 1.87153e-10 5.05551e-10 1.91821e-10 2.00896e-10 2.92653e-09 1.26527e-09 1.45763e-09 9.57808e-09 7.04218e-09 4.41857e-09 6.2225e-09 3.10807e-08 2.41791e-08 4.07806e-09 2.59157e-09 4.06729e-09 2.11795e-08 1.4547e-08 9.58769e-09 1.88422e-09 9.55206e-10 1.65054e-09 1.0727e-08 1.07307e-08 6.88052e-09 4.14598e-09 2.15573e-09 1.14546e-09 1.6179e-09 1.10648e-08 1.21492e-08 7.91744e-09 4.58251e-09 5.18168e-09
"15" 9.29178e-10 1.53002e-10 7.29414e-11 8.50105e-10 -1.21444e-10 1.12792e-09 1.43489e-09 2.74502e-10 4.9155e-10 3.21906e-09 1.62338e-08 1.56782e-09 1.90102e-08 2.41791e-08 2.16298e-07 6.21822e-09 8.87708e-10 2.54068e-09 1.39568e-08 9.78057e-08 5.89254e-08 3.2796e-09 -1.48064e-09 3.93915e-09 6.94423e-09 7.41318e-08 3.26803e-08 2.31265e-08 3.40773e-09 -1.30875e-09 3.28407e-09 6.70044e-09 7.2482e-08 3.13276e-08 2.27272e-08 2.2653e-08
"16" 9.19955e-10 9.47991e-10 8.51736e-10 1.72327e-10 1.97552e-10 -6.97023e-11 1.34785e-09 1.25213e-09 4.87852e-10 1.24024e-09 6.34718e-09 5.06595e-09 2.84046e-09 4.07806e-09 6.21822e-09 1.0643e-08 8.55673e-09 4.97244e-09 6.60554e-09 7.30595e-09 6.54311e-09 2.30076e-09 1.73413e-09 8.81505e-10 1.59882e-09 3.31699e-09 4.75989e-09 1.64325e-09 2.89742e-09 2.14039e-09 1.07368e-09 2.09305e-09 3.82972e-09 5.61409e-09 2.03045e-09 2.49355e-09
"17" 7.27159e-10 1.19467e-09 1.75832e-09 1.90149e-10 3.07029e-10 -1.61393e-11 1.06868e-09 2.06408e-09 5.20089e-10 8.57967e-10 5.12467e-09 1.18353e-08 3.2277e-09 2.59157e-09 8.87708e-10 8.55673e-09 1.78823e-08 5.29268e-09 4.74628e-09 4.16443e-09 8.90538e-09 1.75679e-09 5.61246e-09 1.15577e-09 7.70436e-10 -7.49368e-10 9.55092e-10 -9.23193e-10 2.18695e-09 6.41194e-09 1.41842e-09 1.27633e-09 4.85712e-10 3.10278e-09 -4.80725e-10 1.90108e-10
"18" 4.20924e-10 4.99256e-10 5.50053e-10 1.27467e-09 1.56796e-09 3.50218e-10 8.21499e-10 9.42087e-10 3.08223e-09 1.30546e-09 2.96078e-09 3.20206e-09 2.18896e-08 4.06729e-09 2.54068e-09 4.97244e-09 5.29268e-09 3.14115e-08 6.63814e-09 1.71884e-09 -6.6666e-10 1.14618e-09 1.41423e-09 1.15143e-08 1.67448e-09 1.08403e-09 9.76298e-10 6.77661e-10 1.5035e-09 1.88976e-09 1.2576e-08 2.27169e-09 2.90929e-09 4.2858e-09 1.56449e-09 2.97533e-09
"19" 5.8578e-10 5.72501e-10 5.12569e-10 2.65127e-10 3.55569e-10 -5.02459e-11 2.11152e-09 2.40556e-09 5.16291e-10 6.57575e-09 3.81052e-09 2.76177e-09 3.56285e-09 2.11795e-08 1.39568e-08 6.60554e-09 4.74628e-09 6.63814e-09 3.46811e-08 1.68974e-08 1.57225e-08 1.53795e-09 1.14404e-09 1.29892e-09 9.29855e-09 6.8433e-09 9.49059e-09 3.26455e-09 2.0583e-09 1.61077e-09 1.52172e-09 1.08695e-08 8.01658e-09 1.1714e-08 3.84825e-09 4.83243e-09
"20" 4.47789e-10 3.88551e-10 2.62261e-10 1.38922e-10 8.79693e-11 1.57627e-10 1.02812e-09 8.39243e-10 2.49163e-10 2.35922e-09 5.71412e-09 4.46861e-09 1.88729e-09 1.4547e-08 9.78057e-08 7.30595e-09 4.16443e-09 1.71884e-09 1.68974e-08 1.04311e-07 9.88483e-08 2.14902e-09 9.82245e-10 7.16443e-10 5.74541e-09 4.09357e-08 3.95078e-08 1.47491e-08 2.65015e-09 1.25093e-09 7.58389e-10 5.88759e-09 4.26972e-08 3.9992e-08 1.54015e-08 1.66015e-08
